sex,age,realhrwage,wave,sch,annlabinc,region,female
1,34,14.447039604187,1981,16.0,10000.0,1.0,0
1,32,40.4294853210449,1981,14.0,9095.0,2.0,0
1,64,18.00732421875,2009,12.0,45200.0,1.0,0
1,50,10.3493175506592,1999,12.0,25000.0,2.0,0
1,26,18.347204208374,1990,12.0,24500.0,3.0,0
1,39,23.9197540283203,2011,18.0,46500.0,1.0,0
1,40,31.8116970062256,2007,12.0,60000.0,1.0,0
1,47,20.6313953399658,1990,13.0,39200.0,1.0,0
1,30,19.6623592376709,1981,14.0,20500.0,1.0,0
1,55,20.235876083374,2007,12.0,33000.0,1.0,0
1,40,25.2227802276611,2007,12.0,55000.0,3.0,0
1,33,76.3034515380859,1999,12.0,36000.0,3.0,0
1,25,18.9809589385986,1999,16.0,30000.0,4.0,0
1,41,29.1257610321045,1981,15.0,22000.0,1.0,0
1,27,15.8979940414429,2007,14.0,20000.0,2.0,0
1,48,22.4930820465088,1999,12.0,39000.0,4.0,0
1,36,13.4615383148193,2011,12.0,28000.0,4.0,0
1,46,22.9790134429932,1999,12.0,35000.0,3.0,0
1,30,26.2102909088135,1990,12.0,40000.0,1.0,0
1,34,15.2707052230835,1999,12.0,30500.0,2.0,0
1,42,34.9928703308105,2007,12.0,60000.0,3.0,0
1,27,19.7408180236816,1999,16.0,38000.0,4.0,0
1,26,19.1256828308105,2011,16.0,42000.0,3.0,0
1,32,19.3187160491943,1981,12.0,23000.0,3.0,0
1,55,24.3902435302734,2011,12.0,48000.0,4.0,0
1,46,9.08374404907227,1999,10.0,26000.0,3.0,0
1,49,33.1578941345215,2011,17.0,63000.0,4.0,0
1,25,8.43172168731689,1990,11.0,11640.0,3.0,0
1,39,24.6804161071777,1990,12.0,40804.0,2.0,0
1,34,19.5543079376221,1990,12.0,26000.0,1.0,0
1,33,22.8888530731201,2007,12.0,43000.0,2.0,0
1,52,8.51834392547607,1999,12.0,13497.0,3.0,0
1,48,39.3920364379883,2009,18.0,95000.0,1.0,0
1,31,18.6953811645508,2009,16.0,53000.0,3.0,0
1,31,18.3112812042236,2009,16.0,43800.0,2.0,0
1,40,9.43948078155518,1990,16.0,20000.0,3.0,0
1,43,21.7126693725586,1990,13.0,28000.0,3.0,0
1,30,24.1450786590576,2007,12.0,19800.0,4.0,0
1,28,7.71017694473267,1981,10.0,10100.0,3.0,0
1,41,32.4055213928223,2009,12.0,61500.0,1.0,0
1,49,8.60741233825684,1999,14.0,19601.0,3.0,0
1,31,17.4737415313721,1981,14.0,21000.0,3.0,0
1,33,2.30467557907104,2007,14.0,960.0,4.0,0
1,36,19.3694248199463,1981,10.0,20270.0,1.0,0
1,32,26.446756362915,1999,16.0,58000.0,2.0,0
1,32,18.8924407958984,1999,12.0,30900.0,3.0,0
1,61,18.707483291626,2011,14.0,55000.0,3.0,0
1,50,37.6623382568359,2011,18.0,101500.0,2.0,0
1,36,70.4491729736328,2011,18.0,149000.0,1.0,0
1,31,14.8694667816162,1981,12.0,11000.0,2.0,0
1,33,43.1814270019531,2009,16.0,76000.0,2.0,0
1,47,100.0,2011,18.0,300000.0,3.0,0
1,36,26.7168960571289,1999,12.0,40000.0,3.0,0
1,42,109.581680297852,1999,18.0,190000.0,4.0,0
1,37,36.1803283691406,1999,14.0,63500.0,4.0,0
1,46,44.025218963623,2007,14.0,80000.0,4.0,0
1,49,19.5121955871582,2011,11.0,32000.0,4.0,0
1,37,30.4878044128418,2011,17.0,60000.0,2.0,0
1,47,9.98614692687988,1999,12.0,21500.0,3.0,0
1,39,44.8039169311523,1990,18.0,40000.0,4.0,0
1,43,23.7494354248047,1990,12.0,32620.0,2.0,0
1,25,11.0216102600098,1999,16.0,26000.0,3.0,0
1,31,21.9259166717529,1990,14.0,29000.0,3.0,0
1,37,23.0854740142822,1981,12.0,31000.0,3.0,0
1,31,9.10705471038818,2007,12.0,18000.0,2.0,0
1,34,46.864429473877,2009,18.0,93000.0,3.0,0
1,55,34.9136810302734,1981,6.0,29000.0,4.0,0
1,45,47.2896118164062,2007,15.0,86020.0,3.0,0
1,30,19.5466594696045,1990,15.0,22000.0,3.0,0
1,29,22.8744773864746,1981,14.0,19000.0,4.0,0
1,44,28.4090900421143,2011,14.0,75000.0,4.0,0
1,45,23.5941410064697,1999,12.0,50000.0,2.0,0
1,41,3.72939658164978,1999,12.0,12000.0,3.0,0
1,37,14.0835914611816,1981,13.0,15500.0,2.0,0
1,39,122.581893920898,1990,14.0,52147.0,3.0,0
1,56,23.1132392883301,2007,13.0,42000.0,3.0,0
1,60,28.4344692230225,1981,16.0,23200.0,4.0,0
1,50,25.2976379394531,2009,15.0,38000.0,2.0,0
1,48,17.9548263549805,2009,14.0,31318.0,3.0,0
1,50,16.4093456268311,1999,12.0,27600.0,3.0,0
1,33,21.6341152191162,2007,12.0,48223.0,4.0,0
1,36,14.8145132064819,1990,8.0,26000.0,3.0,0
1,46,23.3735866546631,1999,12.0,46500.0,2.0,0
1,41,64.501579284668,2009,15.0,140000.0,4.0,0
1,32,20.3226299285889,1981,12.0,14700.0,3.0,0
1,42,34.523811340332,2011,12.0,58000.0,3.0,0
1,40,87.7531356811523,2011,18.0,182000.0,3.0,0
1,39,27.7422790527344,1981,16.0,28000.0,4.0,0
1,59,19.4980373382568,1990,12.0,29000.0,3.0,0
1,45,24.3377532958984,2007,13.0,54000.0,2.0,0
1,37,25.953556060791,1999,14.0,41000.0,1.0,0
1,35,18.7018260955811,1999,12.0,42000.0,3.0,0
1,43,7.7791748046875,1981,16.0,3500.0,4.0,0
1,27,16.9512958526611,2011,12.0,53600.0,3.0,0
1,59,38.8737182617188,2009,13.0,75000.0,3.0,0
1,26,17.8682270050049,2007,16.0,35000.0,3.0,0
1,38,19.6405277252197,1999,12.0,40000.0,2.0,0
1,50,10.1829347610474,1981,5.0,8000.0,3.0,0
1,33,26.8085098266602,2011,14.0,63000.0,1.0,0
1,59,24.0099277496338,1981,8.0,19403.0,3.0,0
1,33,26.0,2011,15.0,65000.0,1.0,0
1,52,34.5113067626953,1990,14.0,44000.0,3.0,0
1,27,10.4018688201904,1981,12.0,9000.0,3.0,0
1,51,17.695894241333,1981,12.0,16000.0,1.0,0
1,47,18.0078144073486,1999,12.0,29000.0,2.0,0
1,31,25.9643688201904,1999,16.0,49000.0,1.0,0
1,30,24.4357357025146,2007,14.0,47500.0,3.0,0
1,54,50.49951171875,2007,14.0,120000.0,3.0,0
1,43,43.0,2011,15.0,86000.0,3.0,0
1,61,31.4523506164551,1990,12.0,39200.0,2.0,0
1,53,24.6353149414062,1981,15.0,23500.0,4.0,0
1,58,13.9176387786865,1999,16.0,32000.0,1.0,0
1,45,24.4562358856201,1999,16.0,48000.0,3.0,0
1,43,31.3612823486328,2009,12.0,61000.0,3.0,0
1,35,65.4691009521484,2009,14.0,116000.0,4.0,0
1,36,25.7706089019775,2007,17.0,39000.0,3.0,0
1,29,18.5062427520752,1999,15.0,35900.0,3.0,0
1,36,25.2796268463135,2009,9.0,38819.0,3.0,0
1,56,26.9678077697754,1981,18.0,28000.0,3.0,0
1,40,12.9480562210083,1999,12.0,23000.0,1.0,0
1,48,27.6498355865479,1981,12.0,25000.0,1.0,0
1,29,30.6261577606201,1990,12.0,43000.0,2.0,0
1,36,26.6720676422119,1999,12.0,25000.0,1.0,0
1,33,9.80134296417236,1999,9.0,16000.0,3.0,0
1,50,16.8183269500732,1999,16.0,52000.0,4.0,0
1,32,10.870285987854,2007,9.0,25000.0,2.0,0
1,42,31.5126056671143,2011,14.0,60000.0,3.0,0
1,27,30.0198211669922,1981,12.0,24000.0,4.0,0
1,42,29.1210021972656,1981,12.0,20661.0,1.0,0
1,50,9.53231620788574,1981,9.0,8293.0,3.0,0
1,40,17.0407485961914,1990,12.0,28000.0,3.0,0
